Issue type,Issue name,Severity,Component,Behavior,Issue description,Affected page,Guideline(s),HTML snippet,CSS selector,Needs review,Needs Review Status,Best practice,How to fix this issue,Issue link,Timestamp,Issue status
aria-valid-attr-value,ARIA attributes must conform to valid values,critical,button#text-primary/80.hover:text-primary.text-[13px].font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5,,Ensure all ARIA attributes have valid values.,https://trivantagecapital.vercel.app/,SC 4.1.2,"<button type=""button"" aria-expanded=""false"" aria-haspopup=""true"" aria-controls=""about-menu"" class=""text-primary/80 hover:text-primary text-[13px] font-semibold transition-colors uppercase tracking-widest flex items-center gap-1.5"">",.gap-1\.5,True,Pending Review,False,"Fix all of the following:
  Unable to determine if aria-controls referenced ID exists on the page while using aria-haspopup: aria-controls=""about-menu""",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66239&activeComponentId=button%23text-primary%2F80.hover%3Atext-primary.text-%5B13px%5D.font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5&activeBehaviorValue=&activeIssueId=1042398641,2026-05-15 10:09:00 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/,SC 1.4.3,"<p>Our research process is iterative, curious, and open-minded — ensuring we are always ahead of change, not behind it.</p>",.gap-6.flex-col.flex:nth-child(1) > .max-w-\[480px\].font-light.leading-relaxed > p:nth-child(2),True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it is overlapped by another element",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=p%23&activeBehaviorValue=&activeIssueId=1042398642,2026-05-15 10:09:00 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#text-sm.md:text-base.text-primary/80.group-hover:text-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/,SC 1.4.3,"<span id=""residency-us-label"" class=""text-sm md:text-base text-primary/80 group-hover:text-primary"">",#residency-us-label,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=span%23text-sm.md%3Atext-base.text-primary%2F80.group-hover%3Atext-primary&activeBehaviorValue=&activeIssueId=1042398643,2026-05-15 10:09:00 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/,SC 1.4.3,"<p>Consistent, industry-leading growth is a key filter in identifying tomorrow's leaders.</p>",.gap-6.flex-col.flex:nth-child(2) > .max-w-\[480px\].font-light.leading-relaxed > p:nth-child(2),True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it is overlapped by another element",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=p%23&activeBehaviorValue=&activeIssueId=1042398644,2026-05-15 10:09:00 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,th#px-4.py-3.text-left.text-[11px].font-bold.uppercase.tracking-widest.whitespace-nowrap,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/,SC 1.4.3,"<th scope=""col"" class=""px-4 py-3 text-left text-[11px] font-bold uppercase tracking-widest whitespace-nowrap"">Pending &gt; 3 Months</th>",th:nth-child(7),True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=th%23px-4.py-3.text-left.text-%5B11px%5D.font-bold.uppercase.tracking-widest.whitespace-nowrap&activeBehaviorValue=&activeIssueId=1042398645,2026-05-15 10:09:00 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-white.text-base.sm:text-lg.md:text-xl.mb-6.sm:mb-8.font-medium,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/,SC 1.4.3,"<p class=""text-white text-base sm:text-lg md:text-xl mb-6 sm:mb-8 font-medium"">Built on learning, growth, alignment, and quality - turning conviction into long-term wealth.</p>",.md\:text-xl,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined due to a background gradient",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=p%23text-white.text-base.sm%3Atext-lg.md%3Atext-xl.mb-6.sm%3Amb-8.font-medium&activeBehaviorValue=&activeIssueId=1042398646,2026-05-15 10:09:00 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/,SC 1.4.3,<p>Trivantage Capital is a SEBI-registered boutique portfolio manager with a single mission: to help investors participate in India's long-term growth story.</p>,.sm\:space-y-6 > p:nth-child(1),True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined due to a background gradient",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=p%23&activeBehaviorValue=&activeIssueId=1042398647,2026-05-15 10:09:00 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,h1#!font-serif.text-white.text-3xl.sm:text-4xl.md:text-6xl.lg:text-7xl.leading-[1.1].mb-4.sm:mb-6,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/,SC 1.4.3,"<h1 class=""!font-serif text-white text-3xl sm:text-4xl md:text-6xl lg:text-7xl leading-[1.1] mb-4 sm:mb-6"">Focused. Aligned. Disciplined.</h1>",h1,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined due to a background gradient",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=h1%23%21font-serif.text-white.text-3xl.sm%3Atext-4xl.md%3Atext-6xl.lg%3Atext-7xl.leading-%5B1.1%5D.mb-4.sm%3Amb-6&activeBehaviorValue=&activeIssueId=1042398648,2026-05-15 10:09:00 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/,SC 1.4.3,"<p>By combining deep research, sectoral insights, and uncompromising compliance and execution standards, we build high-conviction portfolios with disciplined execution. Aligned with our clients through meaningful co-investment, we focus on creating wealth that endures.</p>",.sm\:space-y-6 > p:nth-child(2),True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined due to a background gradient",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=p%23&activeBehaviorValue=&activeIssueId=1042398649,2026-05-15 10:09:00 UTC,visible
link-in-text-block,Links must be distinguishable without relying on color,serious,a#text-primary.underline,,Ensure links are distinguished from surrounding text in a way that does not rely on color.,https://trivantagecapital.vercel.app/,SC 1.4.1,"<a href=""mailto:info@trivantagecapital.com"" class=""text-primary underline"">info@trivantagecapital.com</a>",.font-medium > .underline,False,Confirmed Issue,False,"Fix all of the following:
  The link has insufficient color contrast of 2.49:1 with the surrounding text. (Minimum contrast is 3:1, link text: #141e57, surrounding text: #5a5e86)",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeViolationId=66287&activeComponentId=a%23text-primary.underline&activeBehaviorValue=&activeIssueId=1042398650,2026-05-15 10:09:00 UTC,visible
